Sampling Date,2010s names,Site,Temp,Salinity,Ammodytes americanus,Anchoa hepsetus,Anchoa mitchilli,Anguilla rostrata,Alosa aestivalis,Apeltes quadracus,Bairdiella chrysura,Brevoortia tyrannus,Caranx hippos,Chasmodes bosquianus,Clupea harengus harengus,Cynoscion regalis,Cyprinodon variegatus,Fundulus diaphanus,Fundulus heteroclitus,Fundulus majalis,Gasterosteus aculeatus,Gobiosoma bosci,Hippocampus erectus,Lagodon rhomboides,Leiostomus xanthurus,Lucania parva,Menidia beryllina,Menidia menidia,Menticirrhus saxatilis,Morone americana,Mugil cephalis,Mugil curema ,Notemigonus crysoleucas,Opsanus tau,Pollachius virens,Pomatomus saltatrix,Pseudopleuronectes americanus,Priontus carolinus,Scophthalmus aquosus,Selene vomer,Sphoeroides maculatus,Sphyraena borealis,Strongylura marina,Syngnathus fuscus,Synodus foetens,Tautoga onitis,Tautogolabrus adspersus,Vomer septapinnis
5/29/1967,Allen Road,PC,13.65,~,0,0,0,0,0,4.43,0,0,0,0,0,0,0.6,0,10.3,19.43,0.14,0,0,0,0,0,0,81.6,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,3.6,0,0,0,0
5/29/1967,Barnegat Public Beach,WT,14.53,~,0,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0.6,0,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0.14,0,0,0,0,0,0.9,0,0,1.6,0,0.14,0,0
6/13/1967,Allen Road,PC,23.3,~,0,0,83.3,0,0,33.3,0,0,0,0,0,0,0,0,26.9,0.71,0,0.14,0,0,0,0.43,0,4.9,0,0,0,0,0,0.43,0,0,0,0,0,0,0.14,0,0,3.71,0,0.14,0,0
6/13/1967,Barnegat Public Beach,WT,~,~,0,0,3.6,0.6,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2.3,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0
6/25/1967,Allen Road,PC,22.7,~,0,0,0.43,0.6,0,129.43,0,0,0,0,0,0,0,0,13,7.6,0,0,0,0,0,0.43,0,553.9,0,0,0,0,0,0.43,0,0,0.6,0,0,0,1.43,0,6,1,0,0.14,0,0
6/27/1967,Barnegat Public Beach,WT,22.2,~,0,0,0,0.14,0,14.3,0,0,0,0,0,0,0,0,2.71,1.3,0,0,0,0,0,0,0,13.9,0,0,0,0,0,0,0,0,0.43,0,0,0,0.9,0,0.9,2,0,0,0,0
7/12/1967,Barnegat Public Beach,WT,26.4,~,0,0,0.43,0,0,3.6,32.9,0,0.14,0,0,0,0,0,1.6,1.3,0,0,0,0,0,0,0,84.14,1.9,0,0,0,0,0.14,0,0,3.14,0,0.14,0,53.3,0,0.9,0.6,0,0.14,0,0
7/13/1967,Allen Road,PC,26.6,17.52,0,0,0,0.3,0,133.3,21.3,0,0,0,0,0,0,0,5.14,5,0,0,0,0,0,4,0,475.43,1.43,0,0,0,0,0.9,0,0,0,0,0,0,468.9,0,0.3,3.14,0,0.3,0,0
7/31/1967,Allen Road,PC,26.6,19.34,0,0,0,0.14,0,97.6,3.14,0,0.14,0,0,0,0,0,48.9,6.6,0,0.43,0,0,0,1.14,0,510.6,0.71,0,0,0,0,0.14,0,0.14,0.14,0,0,0,96.9,0,1.14,3.9,0,0.14,0,0.3
7/31/1967,Barnegat Public Beach,WT,28.3,~,0,0,0,0,0,33.71,10.71,0,0,0,0,0,0,0,1.14,0.43,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0.14,0,0,0,4.43,0,0.14,1,0,0.9,0,0
8/14/1967,Barnegat Public Beach,WT,25.2,20.73,0,0,0,0,0,7.14,0.6,0,0,0,0,0,0,0,13.14,1.14,0,0,0,0,0,0.3,0,122.71,0,0,0,0.71,0,0.14,0,0,0.3,0,0,0,1.14,0,0.6,1.9,0,0,0,0
8/15/1967,Allen Road,PC,22.2,13.42,0,0,2.71,0,0,67.6,1.6,0,0.14,0,0,0,0,1.43,0.6,0,0,0.14,0,0,0,2.14,0,375.43,0.3,0,0,0,0,1.9,0,0,2,0,0,0,0.14,0,1.14,9.43,0,0,0,0
8/25/1967,Allen Road,PC,21.1,6.13,0,0,13.71,0,0,8.43,0.6,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,7.71,0.43,0.14,0,1.14,0,0.6,0,0,0.43,0,0,0,0,0,0,3.71,0,0.14,0,0
8/28/1967,Barnegat Public Beach,WT,25.5,~,0,0,0,0,0,18.14,0.3,0,0.14,0,0,0,0,0,2.43,3.43,0,0,0,0,0,0,0,322.71,0,0,0,0,0,0.43,0,0,0,0,0,0,0.43,0,0.3,4.3,0,0,0,0
9/29/1967,Allen Road,PC,18.7,18.69,0,0,124,0.14,0,4.71,2.71,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,4.43,0,0.3,0,0,0,0.43,0,0,0.9,0,0,0,0,0,0,0.71,0,0,0,0
9/29/1967,Barnegat Public Beach,WT,20,24.99,0,0,0,0.71,0,86.43,1.43,0,0,0,0,0,0,0,18,4.6,1.71,0,0,0,0,2.3,0,106.43,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0,0,0,2.43,0,0,0,0
10/24/1967,Allen Road,PC,13,17.59,0,0,0.43,0,0,4.57,0.3,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,5.43,0,0.3,0,0,0,0.6,0,0,2.6,0,0,0,0,0,0,1.3,0,0.14,0,0
10/25/1967,Barnegat Public Beach,WT,12,23.5,0,0,0,0.14,0,155.6,6.43,0,0,0,0,0,0.3,1.14,5.9,1,2.14,0,0,0,0,1.3,0,58.6,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,1.14,0,0.3,0.14,0
5/22/1968,Allen Road,PC,18.2,26.73,0,0,0,0,0,10.14,0,0,0,0.3,0,0,0,5.43,4.14,0,0,0,0,0,0,0,2.3,14.9,0,0,0,0,0,0,0,0,0.43,0,0,0,0.14,0,0,1.6,0,0,0,0
5/22/1968,Barnegat Public Beach,WT,17.7,26.73,0,0,0,0,0,10.6,0,0,0,0,0,0,0.14,2.6,9.9,0.3,0,0,0,0,0,0,0,31.14,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0.71,0,0,0,0
6/15/1968,Allen Road,PC,23.6,9.92,0,0,19.71,0.3,0,87,0,0,0,0,0,0,0.14,0.3,1.6,0,0,0.3,0,0,0,0.3,1.3,5.43,0,0,0,0,0.14,0,0,0.14,3.6,0,0,0,0,0,0,0.14,0,0,0,0
6/15/1968,Barnegat Public Beach,WT,22.2,23.31,0,0,5,0,0,17.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.43,5.71,0,0,0,0,0,0.14,0,0,4.9,0,0,0,2.71,0,0,0,0,0,0,0
6/28/1968,Allen Road,PC,21.5,11.37,0,0,10,0.14,0,28.71,0,0,0,0,0,0,0,0.43,2.14,0,0,0.14,0,0,0,0.43,15.14,22.43,0,0,0,0,0,0.3,0,0.3,1,0,0,0,,0,0.14,0.14,0,0,0,0
6/29/1968,Barnegat Public Beach,WT,23.2,23.1,0,0,7.6,0,0,10.14,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,13.6,0,0,0,0,0,0,0,1.14,16.14,0,0,0,2.9,0,2.14,0.6,0,0,0,0
7/12/1968,Allen Road,PC,25.5,13.53,0,0,0.3,0,0,30.71,0,0,0,0,0,0,0,3,0.71,0,0,0,0,0,0,0.14,2.43,64,0,0,0,0,0,0.43,0,0.3,3,0,0,0,0,0,0.71,2.71,0,0,0,0
7/12/1968,Barnegat Public Beach,WT,24.8,24.38,0,0,8,0,0,83.6,1.9,0,0.9,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0.6,32.9,0,0,0,0,0,0.3,0,0.6,6.71,0,0,0,1.3,0,0.43,2.3,0,0.3,0,0
8/9/1968,Allen Road,PC,26.5,16.82,0,0,0.14,0,0,8.14,0,0,0.14,0,0,0,0,0.43,0.3,0,0,0,0,0,0,0,0,111.9,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0.14,1.3,0,0,0,0
8/9/1968,Barnegat Public Beach,WT,28.7,24.99,0,0,0.6,0,0,15,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,31.71,0,0,0,0,0,0.14,0,0.43,0.3,0,0,0,0,0,0.3,3.9,0,0,0,0
8/30/1968,Allen Road,PC,20.5,16.96,0,0,2,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,86.71,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0
8/30/1968,Barnegat Public Beach,WT,18.9,24.76,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,0,0,0,0,0,0.43,0,0,0.3,0,0,0,0.14,0,0,2.71,0,0,0,0
9/10/1968,Barnegat Public Beach,WT,23.7,24.63,0,0,0,0,0,23.3,0,0,0,0.14,0,0,0,0,0.43,0,0,0,0,0,0,0,20.3,31.71,0,0,0,0,0,0.43,0,0,0.14,0,0,0,0,0,0.14,2,0,0,0,0
