,BBP,Morson
Ablennes hians,,NA
Alosa aestivalis,,
Alosa pseudoharengus,,NA
Anchoa hepsetus,,increasing
Anchoa mitchilli,,
Anguilla rostrata,,
Apeltes quadracus,,
Astroscopus guttatus,,
Bairdiella chrysoura,,increasing
Brevoortia tyrannus,,increasing
Caranx hippos,,
Centropristis striata,,
Chasmodes bosquianus,,increasing
Chilomycterus schoepfi,,
Clupea harengus,,declining
Cyprinodon variegatus,,
Fundulus diaphanus,,
Fundulus heteroclitus,,
Fundulus majalis,,
Gasterosteus aculeatus,,declining
Gobiesox strumosus,,NA
Gobiosoma bosc,,
Hippocampus erectus,,
Hyporhamphus meeki,,increasing
Hyporhamphus unifasciatus,,NA
Hypsoblennius hentz,,
Lagodon rhomboides,,increasing
Leiostomus xanthurus,,
Lucania parva,,increasing
Lutjanus cyanopterus,,
Membras martinica,,
Menidia beryllina,,
Menidia menidia,increasing,increasing
Menticirrhus americanus,,
Menticirrhus saxatilis,,
Micropogonias undulatus,decreasing,increasing
Morone americana,,NA
Morone saxatilis,,NA
Mugil curema,,
Opisthonema oglinum,,incresing
Opsanus tau,,
Paralichthys dentatus,decreasing,increasing
Peprilus triacanthus,,
Pogonias cromis,,
Pomatomus saltatrix,,
Prionotus evolans,,
Pseudopleuronectes americanus,,
Pungitius pungitius,,NA
Selene vomer,,
Sphoeroides maculatus,,
Strongylura marina,,
Symphurus plagiusa,,increasing
Syngnathus fuscus,,
Synodus foetens,,
Tautoga onitis,,
Trachinotus carolinus,,NA
Trachinotus falcatus,,NA
Trinectes maculatus,,
