"","Tow-SpeciesID","TowID","Genus","Species","Total Number","Notes"
"1",12460,4804,"Fundulus","majalis",2,NA
"2",12461,4804,"Opsanus","tau",1,NA
"3",12462,4804,"Syngnathus","fuscus",2,NA
"4",12463,4804,"Tautoga","onitis",2,NA
"5",12467,4807,"Menidia","menidia",203,NA
"6",12468,4807,"Syngnathus","fuscus",1,NA
"7",12469,4807,"Fundulus","heteroclitus",25,NA
"8",12470,4807,"Callinectes","sapidus",22,NA
"9",12471,4807,"Fundulus","majalis",43,NA
"10",12472,4807,"Gobiosoma","bosc",2,NA
"11",12473,4808,"Menidia","menidia",439,NA
"12",12474,4808,"Fundulus","majalis",20,NA
"13",12475,4808,"Fundulus","heteroclitus",51,NA
"14",12476,4808,"Callinectes","sapidus",18,NA
"15",12477,4808,"Mugil","curema",1,NA
"16",12478,4808,"Menticirrhus","saxatilis",1,NA
"17",12479,4808,"Syngnathus","fuscus",1,NA
"18",12480,4808,"Brevoortia","tyrannus",1,NA
"19",12481,4808,"Cyprinodon","variegatus",1,NA
"20",12482,4808,"Gobiosoma","bosc",1,NA
"21",12483,4809,"Syngnathus","fuscus",1,NA
"22",12484,4809,"Mugil","curema",1,NA
"23",12485,4809,"Fundulus","heteroclitus",3,NA
"24",12486,4809,"Opsanus","tau",2,NA
"25",12487,4809,"Callinectes","sapidus",2,NA
"26",12488,4809,"Menidia","menidia",51,NA
"27",12489,4809,"Fundulus","majalis",4,NA
"28",12490,4810,"Callinectes","sapidus",6,NA
"29",12491,4810,"Fundulus","majalis",7,NA
"30",12492,4810,"Menidia","menidia",84,NA
"31",12493,4810,"Strongylura","marina",2,NA
"32",12494,4810,"Anchoa","hepsetus",1,NA
"33",12495,4811,"Mnemiopsis","leidyi",72,NA
"34",12496,4811,"Menticirrhus","saxatilis",1,NA
"35",12497,4811,"Strongylura","marina",2,NA
"36",12498,4811,"Trachinotus","falcatus",1,NA
"37",12499,4811,"Menidia","menidia",47,NA
"38",12500,4811,"Fundulus","majalis",2,NA
"39",12501,4811,"Gobiosoma","bosc",1,NA
"40",12502,4812,"Mnemiopsis","leidyi",21,NA
"41",12503,4812,"Menidia","menidia",94,NA
"42",12504,4812,"Gobiesox","strumosus",1,NA
"43",12505,4813,"Chrysaora","quinquecirrha",2,NA
"44",12506,4813,"Fundulus","majalis",7,NA
"45",12507,4813,"Callinectes","sapidus",15,NA
"46",12508,4813,"Menidia","menidia",4,NA
"47",12509,4813,"Anchoa","mitchilli",6,NA
"48",12510,4813,"Anchoa","hepsetus",3,NA
"49",12511,4814,"Paralichthys","dentatus",1,NA
"50",12512,4814,"Chrysaora","quinquecirrha",9,NA
"51",12513,4814,"Callinectes","sapidus",7,NA
"52",12514,4814,"Anchoa","mitchilli",2,NA
"53",12515,4814,"Mnemiopsis","leidyi",1,NA
"54",12516,4814,"Menidia","menidia",10,NA
"55",12517,4814,"Anchoa","hepsetus",5,NA
"56",12518,4815,"Chrysaora","quinquecirrha",10,NA
"57",12519,4815,"Anchoa","mitchilli",3,NA
"58",12520,4815,"Anchoa","hepsetus",49,NA
"59",12521,4815,"Strongylura","marina",1,NA
"60",12522,4816,"Anchoa","hepsetus",19,NA
"61",12523,4816,"Brevoortia","tyrannus",9,NA
"62",12524,4816,"Paralichthys","dentatus",1,NA
"63",12525,4816,"Menidia","menidia",3,NA
"64",12526,4816,"Fundulus","majalis",3,NA
"65",12527,4816,"Anchoa","mitchilli",7,NA
"66",12528,4816,"Chrysaora","quinquecirrha",2,NA
"67",12529,4816,"Callinectes","sapidus",4,NA
"68",12530,4817,"Pomatomus","saltatrix",5,NA
"69",12531,4817,"Anchoa","mitchilli",5,NA
"70",12532,4817,"Callinectes","sapidus",1,NA
"71",12533,4817,"Anchoa","hepsetus",7,NA
"72",12534,4817,"Mnemiopsis","leidyi",1,NA
"73",12535,4817,"Menidia","menidia",2,NA
"74",12536,4818,"Strongylura","marina",3,NA
"75",12537,4818,"Mnemiopsis","leidyi",8,NA
"76",12538,4818,"Anchoa","hepsetus",10,NA
"77",8311,3306,"Perca","flavescens",8,NA
"78",8312,3307,"Alosa","pseudoharengus",18,NA
"79",8313,3308,"Alosa","pseudoharengus",2,"57998 dead"
"80",8314,3308,"Alosa","aestivalis",1,"58000 dead"
"81",8315,3308,"Dorosoma","cepedianum",13,NA
"82",8316,3309,"Alosa","aestivalis",12,NA
"83",8317,3309,"Dorosoma","cepedianum",1,NA
"84",8318,3310,"Alosa","aestivalis",10,NA
"85",8319,3311,"Alosa","aestivalis",2,NA
"86",8320,3312,"Alosa","aestivalis",5,NA
"87",8321,3312,"Alosa","pseudoharengus",1,NA
"88",8322,3313,"Alosa","aestivalis",2,NA
"89",8323,3314,"Alosa","aestivalis",1,NA
"90",8324,3314,"Alosa","pseudoharengus",1,NA
"91",8325,3315,"Alosa","pseudoharengus",1,NA
"92",8326,3316,"Alosa","aestivalis",1,NA
"93",8327,3316,"Alosa","pseudoharengus",1,NA
"94",8328,3317,"Alosa","aestivalis",71,NA
"95",8329,3318,"Alosa","aestivalis",51,NA
"96",8330,3318,"Alosa","pseudoharengus",11,NA
"97",8331,3319,"Alosa","aestivalis",1,NA
"98",8332,3321,"Alosa","aestivalis",9,NA
"99",8333,3321,"Alosa","pseudoharengus",4,NA
